signature_id,Sub_Status,signature
4625,0xc0000064,"User logon with misspelled or bad user account"
4625,0xC0000064,"User logon with misspelled or bad user account"
4625,0xc000006a,"User logon with misspelled or bad password"
4625,0xC000006A,"User logon with misspelled or bad password"
4625,0xc0000234,"User logon with account locked"
4625,0xC0000234,"User logon with account locked"
4625,0xc0000072,"User logon to account disabled by administrator"
4625,0xC0000072,"User logon to account disabled by administrator"
4625,0xc000006f,"User logon outside authorized hours"
4625,0xC000006F,"User logon outside authorized hours"
4625,0xc0000070,"User logon from unauthorized workstation"
4625,0xC0000070,"User logon from unauthorized workstation"
4625,0xc0000193,"User logon with expired account"
4625,0xC0000193,"User logon with expired account"
4625,0xc0000071,"User logon with expired password"
4625,0xC0000071,"User logon with expired password"
4625,0xc0000133,"Clocks between DC and other computer too far out of sync"
4625,0xC0000133,"Clocks between DC and other computer too far out of sync"
4625,0xc0000224,"User is required to change password at next logon"
4625,0xC0000224,"User is required to change password at next logon"
4625,0xc0000225,"Evidently a bug in Windows and not a risk"
4625,0xC0000225,"Evidently a bug in Windows and not a risk"
4625,0xc000005e,"There are currently no logon servers available to service the logon request"
4625,0xC000005E,"There are currently no logon servers available to service the logon request"
4625,0xc000006d,"The cause is either a bad username or authentication information"
4625,0xC000006D,"The cause is either a bad username or authentication information"
4625,0xc000006e,"Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)"
4625,0xC000006E,"Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)"
4625,0xc00000dc,"Indicates the Sam Server was in the wrong state to perform the desired operation"
4625,0xC00000DC,"Indicates the Sam Server was in the wrong state to perform the desired operation"
4625,0xc000015b,"The user has not been granted the requested logon type (also called the logon right) at this machine"
4625,0xC000015B,"The user has not been granted the requested logon type (also called the logon right) at this machine"
4625,0xc000018c,"The logon request failed because the trust relationship between the primary domain and the trusted domain failed"
4625,0xC000018C,"The logon request failed because the trust relationship between the primary domain and the trusted domain failed"
4625,0xc0000192,"An attempt was made to logon, but the Netlogon service was not started"
4625,0xC0000192,"An attempt was made to logon, but the Netlogon service was not started"
4625,0xc00002ee,"Failure Reason: An Error occurred during Logon"
4625,0xC00002EE,"Failure Reason: An Error occurred during Logon"
4625,0xc0000413,"Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine"
4625,0xC0000413,"Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine"
